game,blueban1,blueban2,blueban3,blueban4,blueban5,redban1,redban2,redban3,redban4,redban5,result
ESPORTSTMNT03/1632489,266,145,80,523,236,84,135,163,79,57,0
ESPORTSTMNT03/1632500,84,163,142,89,517,266,80,135,245,61,1
ESPORTSTMNT03/1632502,84,163,2,89,58,266,80,135,145,516,1
6909-9183,2,58,142,4,61,104,516,84,85,126,1
6909-9184,2,266,58,3,89,104,516,84,80,163,1
6910-9189,134,142,84,126,412,135,145,80,266,516,1
6910-9190,266,80,516,777,236,134,84,2,89,79,1
6910-9191,134,84,2,89,875,135,163,145,12,58,1
NA1/3735059392,236,79,163,134,3,2,80,70,266,412,0
NA1/3735089393,122,412,164,266,875,236,89,80,245,84,1
NA1/3734939626,84,3,80,236,164,26,104,70,39,142,1
NA1/3737099763,164,70,79,3,61,104,2,98,12,54,0
NA1/3737119854,26,120,80,202,523,2,3,57,13,268,1
NA1/3735059696,2,70,89,134,164,84,98,104,266,58,0
NA1/3735089630,84,236,89,80,238,122,412,134,61,70,1
NA1/3737099991,30,2,236,135,134,80,79,84,164,61,0
NA1/3737120121,57,3,876,164,516,26,104,80,523,517,0
NA1/3737140122,122,412,134,202,21,236,80,76,777,238,1
NA1/3737169983,236,98,163,117,516,2,80,70,266,164,0
NA1/3737100387,79,164,70,61,54,30,2,135,134,517,0
NA1/3737170412,2,70,163,266,164,80,84,30,112,134,1
NA1/3737120636,1,34,32,28,427,26,84,80,68,4,1
NA1/3737170792,236,203,163,266,54,84,79,104,164,134,0
NA1/3737121035,26,80,84,68,4,266,1,136,32,28,1
NA1/3737121483,266,1,32,31,28,26,84,80,164,54,0
NA1/3737122018,80,3,2,39,61,84,68,266,134,58,1
NA1/3737122543,3,58,236,202,145,80,2,84,134,61,0
NA1/3737122937,236,2,80,98,21,84,104,3,164,266,0
NA1/3737123325,26,58,236,497,201,2,80,104,157,134,0
6911-9185,84,777,236,516,54,2,104,3,266,164,0
6911-9186,3,58,266,164,142,84,135,236,777,516,1
6912-9187,163,4,135,516,106,84,134,12,429,777,0
6912-9188,163,4,135,516,54,84,134,61,429,58,0
6913-9192,142,58,84,61,245,163,164,135,202,523,0
