game,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
ESPORTSTMNT03/1632489,Mordekaiser,Graves,Zoe,Miss Fortune,Galio,Ornn,Kindred,Orianna,Ezreal,Leona,0
ESPORTSTMNT03/1632500,Gragas,Graves,Rumble,Kai'Sa,Alistar,Ornn,Olaf,Syndra,Miss Fortune,Galio,1
ESPORTSTMNT03/1632502,Gragas,Graves,Zoe,Yasuo,Alistar,Rumble,Nidalee,Yone,Miss Fortune,Galio,1
6909-9183,Karma,Pantheon,Syndra,Samira,Leona,Aatrox,Nidalee,Viktor,Kai'Sa,Galio,1
6909-9184,Jax,Hecarim,Orianna,Samira,Alistar,Camille,Lillia,Viktor,Kai'Sa,Maokai,1
6910-9189,Camille,Kindred,Twisted Fate,Jhin,Galio,Gragas,Olaf,Orianna,Miss Fortune,Leona,1
6910-9190,Volibear,Hecarim,Orianna,Samira,Maokai,Renekton,Taliyah,Galio,Kai'Sa,Alistar,1
6910-9191,Kennen,Graves,Zoe,Miss Fortune,Thresh,Aatrox,Pantheon,Orianna,Jhin,Maokai,1
NA1/3735059392,Kennen,Graves,Akali,Kai'Sa,Alistar,Sylas,Kindred,Lulu,Jhin,Shen,0
NA1/3735089393,Ornn,Kindred,Fizz,Jhin,Galio,Gragas,Graves,Syndra,Kai'Sa,Nautilus,1
NA1/3734939626,Ornn,Olaf,Rumble,Samira,Braum,Fiora,Lillia,Ryze,Kai'Sa,Maokai,1
NA1/3737099763,Aatrox,Karthus,Lucian,Kai'Sa,Pantheon,Ornn,Hecarim,Viktor,Samira,Maokai,0
NA1/3737119854,Gragas,Graves,LeBlanc,Kai'Sa,Leona,Renekton,Nidalee,Twisted Fate,Lucian,Alistar,1
NA1/3735059696,Ornn,Lillia,Pantheon,Lucian,Maokai,Gragas,Hecarim,Viktor,Kai'Sa,Alistar,0
NA1/3735089630,Gragas,Graves,Anivia,Miss Fortune,Sett,Aatrox,Nidalee,Viktor,Kai'Sa,Galio,1
NA1/3737099991,Gangplank,Graves,Karma,Kai'Sa,Leona,Lulu,Kindred,Twisted Fate,Aphelios,Braum,0
NA1/3737120121,Aatrox,Olaf,Orianna,Vayne,Leona,Wukong,Hecarim,Ryze,Kai'Sa,Alistar,0
NA1/3737140122,Aatrox,Lillia,Viktor,Kai'Sa,Maokai,Ornn,Graves,Orianna,Aphelios,Leona,1
NA1/3737169983,Akali,Graves,Anivia,Miss Fortune,Maokai,Sion,Kindred,Ekko,Jhin,Galio,0
NA1/3737100387,Aatrox,Kha'Zix,Viktor,Jhin,Pantheon,Irelia,Graves,Lissandra,Kai'Sa,Alistar,0
NA1/3737170412,Ornn,Graves,Orianna,Kai'Sa,Leona,Gragas,Lillia,Lucian,Miss Fortune,Galio,1
NA1/3737120636,Aatrox,Olaf,Orianna,Jhin,Leona,Darius,Graves,Syndra,Kai'Sa,Morgana,1
NA1/3737170792,Kayle,Olaf,Orianna,Jhin,Pantheon,Sion,Kha'Zix,Seraphine,Miss Fortune,Maokai,0
NA1/3737121035,Ornn,Graves,Anivia,Lucian,Lulu,Renekton,Nidalee,Xerath,Kai'Sa,Braum,1
NA1/3737121483,Jax,Graves,Galio,Kai'Sa,Rakan,Ornn,Kindred,Seraphine,Aphelios,Braum,0
NA1/3737122018,Ornn,Graves,Malphite,Senna,Braum,Lucian,Lillia,Sylas,Jhin,Gragas,1
NA1/3737122543,Vladimir,Graves,Yone,Miss Fortune,Shen,Camille,Nidalee,Twisted Fate,Samira,Braum,0
NA1/3737122937,Yone,Lee Sin,Zoe,Draven,Zilean,Renekton,Lillia,Irelia,Jhin,Gragas,0
NA1/3737123325,Wukong,Hecarim,Akali,Miss Fortune,Galio,Yone,Lee Sin,Twisted Fate,Kai'Sa,Lulu,0
6911-9185,Renekton,Sejuani,Syndra,Samira,Alistar,Volibear,Pantheon,Zoe,Kai'Sa,Maokai,0
6911-9186,Gragas,Graves,Syndra,Aphelios,Thresh,Irelia,Olaf,Orianna,Kai'Sa,Sett,1
6912-9187,Gnar,Nidalee,Orianna,Miss Fortune,Galio,Renekton,Graves,Viktor,Jhin,Leona,0
6912-9188,Gnar,Nidalee,Zoe,Jhin,Leona,Wukong,Graves,Viktor,Miss Fortune,Maokai,0
6913-9192,Ornn,Graves,Syndra,Xayah,Thresh,Kennen,Olaf,Twisted Fate,Kai'Sa,Gragas,0
6913-9193,Kennen,Graves,Syndra,Xayah,Thresh,Jayce,Olaf,Orianna,Jhin,Leona,1
6913-9194,Kennen,Olaf,Syndra,Kai'Sa,Shen,Jayce,Graves,Twisted Fate,Jhin,Leona,1
6914-9195,Aatrox,Olaf,LeBlanc,Jhin,Leona,Camille,Pantheon,Viktor,Miss Fortune,Gragas,1
ESPORTSTMNT02/1650084,Gnar,Lillia,Anivia,Ashe,Alistar,Renekton,Nidalee,Yone,Miss Fortune,Morgana,1
ESPORTSTMNT02/1650105,Shen,Olaf,Syndra,Kai'Sa,Rakan,Camille,Elise,Ekko,Jhin,Alistar,1
ESPORTSTMNT02/1650107,Aatrox,Kha'Zix,Syndra,Miss Fortune,Shen,Camille,Lillia,Ekko,Jhin,Leona,0
ESPORTSTMNT02/1650114,Aatrox,Hecarim,Seraphine,Miss Fortune,Thresh,Shen,Lillia,Lucian,Kai'Sa,Leona,0
NA1/3739583938,Ornn,Lillia,Pantheon,Lucian,Gragas,Volibear,Graves,Galio,Ashe,Taric,0
NA1/3739154532,Akali,Graves,Yone,Kai'Sa,Gragas,Camille,Ekko,LeBlanc,Samira,Alistar,0
NA1/3739424499,Malphite,Nidalee,Yone,Samira,Leona,Sylas,Graves,Orianna,Ezreal,Rakan,0
NA1/3739274584,Ornn,Graves,Syndra,Samira,Rell,Fiora,Hecarim,Viktor,Miss Fortune,Seraphine,0
NA1/3739474172,Poppy,Graves,Seraphine,Draven,Janna,Aatrox,Karthus,Viktor,Samira,Alistar,1
NA1/3739454304,Volibear,Hecarim,Galio,Miss Fortune,Thresh,Camille,Olaf,Orianna,Jhin,Seraphine,0
NA1/3739504187,Ornn,Olaf,Orianna,Samira,Galio,Cho'Gath,Graves,Zoe,Kai'Sa,Leona,0
NA1/3739274626,Ornn,Lillia,Qiyana,Kai'Sa,Bard,Camille,Graves,Twisted Fate,Aphelios,Thresh,1
NA1/3739414489,Fiora,Pantheon,Galio,Jhin,Nami,Akali,Jarvan IV,Vayne,Miss Fortune,Seraphine,1
NA1/3739085266,Pantheon,Olaf,Syndra,Jinx,Thresh,Aatrox,Taliyah,Lucian,Jhin,Nautilus,1
NA1/3739085268,Gragas,Graves,Syndra,Jhin,Galio,Ornn,Lillia,Zoe,Miss Fortune,Leona,0
NA1/3739125348,Volibear,Kindred,Karma,Kai'Sa,Gragas,Renekton,Taliyah,Seraphine,Aphelios,Leona,1
NA1/3739254924,Wukong,Graves,Karma,Samira,Leona,Mordekaiser,Kindred,Pantheon,Kai'Sa,Galio,0
NA1/3739294661,Renekton,Taliyah,Akali,Kai'Sa,Nautilus,Ornn,Graves,Zoe,Jhin,Galio,0
NA1/3739154751,Malphite,Kindred,Seraphine,Ashe,Galio,Sylas,Graves,Orianna,Kai'Sa,Leona,1
NA1/3739274927,Ornn,Graves,Syndra,Samira,Alistar,Volibear,Elise,Renekton,Miss Fortune,Leona,0
NA1/3739394453,Poppy,Kindred,Syndra,Kai'Sa,Maokai,Mordekaiser,Graves,Akali,Miss Fortune,Leona,1
NA1/3739394472,Pantheon,Taliyah,Yone,Kai'Sa,Galio,Vladimir,Graves,Orianna,Samira,Nautilus,0
NA1/3739185150,Urgot,Lillia,Sylas,Samira,Galio,Shen,Hecarim,Viktor,Graves,Alistar,0
NA1/3739464588,Camille,Lillia,Zed,Kai'Sa,Rell,Kennen,Graves,Syndra,Samira,Nautilus,0
NA1/3739125682,Pantheon,Lee Sin,LeBlanc,Kai'Sa,Seraphine,Akali,Jarvan IV,Orianna,Miss Fortune,Karma,1
NA1/3739274973,Gangplank,Kindred,Ekko,Jhin,Leona,Wukong,Lillia,Syndra,Miss Fortune,Seraphine,1
NA1/3739245218,Sion,Kayn,Syndra,Miss Fortune,Leona,Camille,Olaf,Orianna,Jhin,Galio,1
NA1/3739085622,Aatrox,Graves,Viktor,Jhin,Galio,Pantheon,Lillia,Gragas,Kai'Sa,Braum,0
NA1/3739484923,Irelia,Graves,LeBlanc,Kai'Sa,Leona,Maokai,Hecarim,Sylas,Miss Fortune,Thresh,1
NA1/3739425010,Sion,Olaf,Viktor,Samira,Alistar,Gangplank,Kindred,Anivia,Kai'Sa,Taric,0
NA1/3739245295,Darius,Jarvan IV,Syndra,Lucian,Thresh,Jax,Hecarim,Xerath,Jhin,Leona,0
NA1/3739444750,Shen,Graves,Akali,Miss Fortune,Maokai,Vayne,Lillia,Lucian,Jhin,Galio,1
NA1/3739185374,Rengar,Graves,Galio,Miss Fortune,Morgana,Wukong,Gragas,Lucian,Jhin,Leona,1
NA1/3739464872,Gragas,Graves,Azir,Miss Fortune,Maokai,Camille,Kindred,Viktor,Ezreal,Galio,0
NA1/3739425354,Aatrox,Lillia,Syndra,Miss Fortune,Galio,Fiora,Rengar,Akali,Kai'Sa,Bard,0
NA1/3739425471,Camille,Graves,Syndra,Miss Fortune,Thresh,Renekton,Ezreal,Leona,Gragas,Orianna,0
6915-9197,Gragas,Olaf,Orianna,Kai'Sa,Sett,Renekton,Graves,Galio,Aphelios,Thresh,0
6915-9198,Camille,Graves,Twisted Fate,Kai'Sa,Sett,Jax,Nidalee,Viktor,Jhin,Alistar,0
6916-9199,Aatrox,Nidalee,Zoe,Jhin,Galio,Ornn,Graves,Viktor,Kai'Sa,Alistar,1
6916-9200,Renekton,Nidalee,Jayce,Aphelios,Thresh,Kennen,Graves,Zoe,Kai'Sa,Sett,0
6916-9201,Gnar,Nidalee,Twisted Fate,Kai'Sa,Leona,Jayce,Graves,Viktor,Jhin,Alistar,0
ESPORTSTMNT02/1640112,Camille,Pantheon,Karma,Miss Fortune,Galio,Poppy,Graves,Orianna,Kai'Sa,Alistar,1
ESPORTSTMNT02/1640127,Renekton,Graves,Orianna,Kai'Sa,Leona,Ornn,Ekko,Qiyana,Jhin,Alistar,0
ESPORTSTMNT02/1640143,Sion,Olaf,Seraphine,Miss Fortune,Braum,Shen,Lillia,Qiyana,Jhin,Leona,0
ESPORTSTMNT02/1640154,Gnar,Kindred,Seraphine,Jinx,Karma,Volibear,Olaf,Azir,Jhin,Rakan,0
NA1/3741211550,Wukong,Lee Sin,Corki,Neeko,Seraphine,Malphite,Kindred,Xerath,Jhin,Galio,1
NA1/3741221590,Akali,Lillia,Yone,Samira,Leona,Maokai,Kha'Zix,Annie,Miss Fortune,Seraphine,1
NA1/3741211613,Ornn,Ekko,Pantheon,Kai'Sa,Braum,Shen,Graves,Galio,Miss Fortune,Seraphine,1
NA1/3741500797,Poppy,Lillia,Seraphine,Jhin,Thresh,Vladimir,Kha'Zix,Galio,Miss Fortune,Leona,1
NA1/3741630404,Shen,Nocturne,Azir,Jhin,Seraphine,Riven,Kindred,Viktor,Miss Fortune,Alistar,0
NA1/3741221703,Cho'Gath,Kindred,Viktor,Vayne,Leona,Ornn,Olaf,Azir,Samira,Galio,1
NA1/3741211639,Malphite,Graves,Ryze,Miss Fortune,Galio,Sylas,Olaf,Karma,Jhin,Seraphine,1
NA1/3741470828,Mordekaiser,Olaf,Orianna,Kai'Sa,Thresh,Camille,Graves,Galio,Aphelios,Nautilus,0
NA1/3741331153,Shen,Hecarim,Syndra,Kai'Sa,Pantheon,Renekton,Taliyah,Azir,Miss Fortune,Seraphine,0
NA1/3741550739,Aatrox,Hecarim,Azir,Kai'Sa,Alistar,Kled,Lillia,Sett,Samira,Leona,1
NA1/3741570696,Jax,Olaf,Lulu,Kai'Sa,Rakan,Aatrox,Nidalee,Irelia,Ezreal,Alistar,1
NA1/3741271239,Mordekaiser,Graves,Orianna,Samira,Galio,Malphite,Gragas,Yasuo,Kai'Sa,Alistar,0
NA1/3741351212,Camille,Nidalee,Sylas,Jhin,Pantheon,Ornn,Lillia,Irelia,Miss Fortune,Alistar,0
NA1/3741600545,Maokai,Lillia,Pantheon,Jhin,Thresh,Aatrox,Graves,Syndra,Kai'Sa,Leona,1
NA1/3741400897,Aatrox,Kindred,Viktor,Kai'Sa,Nautilus,Gangplank,Ivern,Anivia,Samira,Gragas,0
NA1/3741471233,Ornn,Graves,Azir,Samira,Rakan,Shen,Taliyah,Katarina,Jhin,Braum,0
NA1/3741610911,Sion,Taliyah,Yone,Kai'Sa,Galio,Wukong,Graves,Anivia,Samira,Thresh,0
NA1/3741501280,Darius,Taliyah,Sett,Ashe,Alistar,Gangplank,Hecarim,Sylas,Kai'Sa,Leona,1
NA1/3741351579,Shen,Ekko,Zoe,Ezreal,Pantheon,Gnar,Graves,Fizz,Lucian,Braum,1
NA1/3741212085,Aatrox,Graves,Seraphine,Kai'Sa,Galio,Malphite,Lillia,Lucian,Jhin,Braum,0
