game,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
ESPORTSTMNT03/1632489,82,104,142,21,3,516,203,61,81,89,0
ESPORTSTMNT03/1632500,79,104,68,145,12,516,2,134,21,3,1
ESPORTSTMNT03/1632502,79,104,142,157,12,68,76,777,21,3,1
6909-9183,43,80,134,135,89,266,76,112,145,3,1
6909-9184,24,120,61,135,12,164,876,112,145,57,1
6910-9189,164,203,4,202,3,79,2,61,21,89,1
6910-9190,106,120,61,135,57,58,163,3,145,12,1
6910-9191,85,104,142,21,412,266,80,61,202,57,1
NA1/3735059392,85,104,84,145,12,517,203,117,202,98,0
NA1/3735089393,516,203,105,202,3,79,104,134,145,111,1
NA1/3734939626,516,2,68,135,201,114,876,13,145,57,1
NA1/3737099763,266,30,236,145,80,516,120,112,135,57,0
NA1/3737119854,79,104,7,145,89,58,76,4,236,12,1
NA1/3735059696,516,876,80,236,57,79,120,112,145,12,0
NA1/3735089630,79,104,34,21,875,266,76,112,145,3,1
NA1/3737099991,41,104,43,145,89,117,203,4,523,201,0
NA1/3737120121,266,2,61,67,89,62,120,13,145,12,0
NA1/3737140122,266,876,112,145,57,516,104,61,523,89,1
NA1/3737169983,84,104,34,21,57,14,203,245,202,3,0
NA1/3737100387,266,121,112,202,80,39,104,127,145,12,0
NA1/3737170412,516,104,61,145,89,79,876,236,21,3,1
NA1/3737120636,266,2,61,202,89,122,104,134,145,25,1
NA1/3737170792,10,2,61,202,80,14,121,70,21,57,0
NA1/3737121035,516,104,34,236,117,58,76,101,145,201,1
NA1/3737121483,24,104,3,145,497,516,203,70,523,201,0
NA1/3737122018,516,104,54,235,201,236,876,517,202,79,1
NA1/3737122543,8,104,777,21,98,164,76,4,135,201,0
NA1/3737122937,777,64,142,119,26,58,876,39,202,79,0
NA1/3737123325,62,120,84,21,3,777,64,4,145,117,0
6911-9185,58,113,134,135,12,106,80,142,145,57,0
6911-9186,79,104,134,523,412,39,2,61,145,875,1
6912-9187,150,76,61,21,3,58,104,112,202,89,0
6912-9188,150,76,142,202,89,62,104,112,21,57,0
6913-9192,516,104,134,498,412,85,2,4,145,79,0
6913-9193,85,104,134,498,412,126,2,61,202,89,1
6913-9194,85,2,134,145,98,126,104,4,202,89,1
6914-9195,266,2,7,202,89,164,80,112,21,79,1
ESPORTSTMNT02/1650084,150,876,34,22,12,58,76,777,21,25,1
ESPORTSTMNT02/1650105,98,2,134,145,497,164,60,245,202,12,1
ESPORTSTMNT02/1650107,266,121,134,21,98,164,876,245,202,89,0
ESPORTSTMNT02/1650114,266,120,70,21,412,98,876,236,145,89,0
NA1/3739583938,516,876,80,236,79,106,104,3,22,44,0
NA1/3739154532,84,104,777,145,79,164,245,7,135,12,0
NA1/3739424499,54,76,777,135,89,517,104,61,81,497,0
NA1/3739274584,516,104,134,135,71,114,120,112,21,70,0
NA1/3739474172,78,104,70,119,40,266,30,112,135,12,1
NA1/3739454304,106,120,3,21,412,164,2,61,202,70,0
NA1/3739504187,516,2,61,135,3,31,104,142,145,89,0
NA1/3739274626,516,876,246,145,432,164,104,4,523,412,1
NA1/3739414489,114,80,3,202,267,84,59,67,21,70,1
NA1/3739085266,80,2,134,222,412,266,163,236,202,111,1
NA1/3739085268,79,104,134,202,3,516,876,142,21,89,0
NA1/3739125348,106,203,43,145,79,58,163,70,523,89,1
NA1/3739254924,62,104,43,135,89,82,203,80,145,3,0
NA1/3739294661,58,163,84,145,111,516,104,142,202,3,0
NA1/3739154751,54,203,70,22,3,517,104,61,145,89,1
NA1/3739274927,516,104,134,135,12,106,60,58,21,89,0
NA1/3739394453,78,203,134,145,57,82,104,84,21,89,1
NA1/3739394472,80,163,777,145,3,8,104,61,135,111,0
NA1/3739185150,6,876,517,135,3,98,120,112,104,12,0
NA1/3739464588,164,876,238,145,71,85,104,134,135,111,0
NA1/3739125682,80,64,7,145,70,84,59,61,21,43,1
NA1/3739274973,41,203,245,202,89,62,876,134,21,70,1
NA1/3739245218,14,141,134,21,89,164,2,61,202,3,1
NA1/3739085622,266,104,112,202,3,80,876,79,145,201,0
