game,bluetopgp,bluetopwr,bluetopkda,bluejunglegp,bluejunglewr,bluejunglekda,bluemidgp,bluemidwr,bluemidkda,blueadcgp,blueadcwr,blueadckda,bluesupportgp,bluesupportwr,bluesupportkda,redtopgp,redtopwr,redtopkda,redjunglegp,redjunglewr,redjunglekda,redmidgp,redmidwr,redmidkda,redadcgp,redadcwr,redadckda,redsupportgp,redsupportwr,redsupportkda,result
ESPORTSTMNT03/1632489,8,0.5,2.9,27,0.85,5.9,54,0.74,10.2,10,0.7,5.3,11,0.55,2.8,11,0.55,2.5,41,0.68,4.3,13,0.46,3.6,21,0.57,4.3,10,0.6,2.5,0
ESPORTSTMNT03/1632500,14,0.36,2.6,63,0.63,5.1,1,0.0,1.0,20,0.3,3.4,25,0.28,2.5,20,0.65,5.4,4,0.5,4.6,54,0.7,5.0,10,0.7,5.3,11,0.55,2.8,1
ESPORTSTMNT03/1632502,14,0.36,2.6,63,0.63,5.1,4,0.25,2.3,2,0.5,2.4,25,0.28,2.5,7,0.71,3.8,23,0.83,6.1,2,0.5,3.8,10,0.7,5.3,11,0.55,2.8,1
6909-9183,2,0.0,0.9,5,0.6,3.9,36,0.75,6.2,5,0.6,7.3,22,0.64,3.1,33,0.45,2.7,11,0.55,3.0,6,0.67,5.2,43,0.6,6.3,4,0.75,4.5,1
6909-9184,16,0.56,2.8,11,0.55,3.6,50,0.64,6.1,5,0.6,7.3,25,0.68,4.5,20,0.45,3.3,2,1.0,2.9,6,0.67,5.2,43,0.6,6.3,2,0.5,1.4,1
6910-9189,17,0.41,2.0,20,0.4,3.3,4,0.25,1.5,5,0.0,2.0,10,0.2,2.0,22,0.64,3.4,11,0.82,10.1,31,0.61,6.0,19,0.42,6.4,37,0.62,3.5,1
6910-9190,3,0.33,3.9,9,0.44,4.3,31,0.61,6.0,5,0.6,6.8,4,0.75,3.2,22,0.45,2.4,11,0.55,3.1,19,0.47,4.0,33,0.36,2.5,56,0.43,3.2,1
6910-9191,9,0.33,1.1,19,0.42,4.4,44,0.52,5.3,4,0.25,3.1,50,0.52,3.5,24,0.63,3.1,1,1.0,3.3,15,0.8,8.2,7,0.57,11.3,4,0.75,3.2,1
NA1/3735059392,2,1.0,2.8,16,0.69,4.1,6,0.33,3.8,15,0.53,6.9,36,0.67,4.0,1,0.0,1.2,8,0.25,2.2,4,0.5,5.3,15,0.47,4.1,1,0.0,10.0,0
NA1/3735089393,2,0.5,2.5,2,0.5,3.0,1,0.0,0.8,9,0.44,3.1,9,0.44,1.7,3,0.33,3.0,5,0.6,9.7,18,0.5,2.5,21,0.67,5.5,8,0.5,1.8,1
