gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
7572-10295,partial,https://lpl.qq.com/es/stats.shtml?bmid=7572,LDL,2021,Spring,1,2021-05-11 11:06:43,3,11.06,1,Blue,top,Xiaoxiang,EDG Youth Team,Renekton,Sylas,Tahm Kench,Jayce,Akali,Twisted Fate,1467,0,0,4,3,4,17,,,0,0,,0,,,0.1636,0.8589,,,,,,,,,,,,,,,,,,,,,,,,,,5212,213.1697,0.169634,758.8957,,8,0.3272,5,0.2045,3,,,8273,5005,204.7035,0.22432,,,213,213,0,0,0,8.7117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7572-10295,partial,https://lpl.qq.com/es/stats.shtml?bmid=7572,LDL,2021,Spring,1,2021-05-11 11:06:43,3,11.06,2,Blue,jng,JunJia,EDG Youth Team,Udyr,Sylas,Tahm Kench,Jayce,Akali,Twisted Fate,1467,0,1,3,3,4,17,,,0,0,,0,,,0.1636,0.8589,,,,,,,,,,,,,,,,,,,,,,,,,,3671,150.1431,0.119479,935.4192,,8,0.3272,2,0.0818,8,,,7683,4415,180.5726,0.197875,,,161,7,154,104,5,6.5849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7572-10295,partial,https://lpl.qq.com/es/stats.shtml?bmid=7572,LDL,2021,Spring,1,2021-05-11 11:06:43,3,11.06,3,Blue,mid,0909,EDG Youth Team,LeBlanc,Sylas,Tahm Kench,Jayce,Akali,Twisted Fate,1467,0,1,4,1,4,17,,,0,0,,0,,,0.1636,0.8589,,,,,,,,,,,,,,,,,,,,,,,,,,9558,390.9202,0.311082,621.5951,,6,0.2454,5,0.2045,3,,,8849,5581,228.2618,0.250138,,,181,173,8,8,0,7.4029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7572-10295,partial,https://lpl.qq.com/es/stats.shtml?bmid=7572,LDL,2021,Spring,1,2021-05-11 11:06:43,3,11.06,4,Blue,bot,Hope,EDG Youth Team,Kai'Sa,Sylas,Tahm Kench,Jayce,Akali,Twisted Fate,1467,0,2,3,1,4,17,,,0,0,,0,,,0.1636,0.8589,,,,,,,,,,,,,,,,,,,,,,,,,,8161,333.7832,0.265614,400.8998,,13,0.5317,5,0.2045,2,,,8791,5523,225.8896,0.247538,,,212,205,7,7,0,8.6708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7572-10295,partial,https://lpl.qq.com/es/stats.shtml?bmid=7572,LDL,2021,Spring,1,2021-05-11 11:06:43,3,11.06,5,Blue,sup,Xiamu,EDG Youth Team,Rell,Sylas,Tahm Kench,Jayce,Akali,Twisted Fate,1467,0,0,3,4,4,17,,,0,0,,0,,,0.1636,0.8589,,,,,,,,,,,,,,,,,,,,,,,,,,4123,168.6299,0.13419,349.4479,,32,1.3088,5,0.2045,6,,,5056,1788,73.1288,0.0801287,,,36,36,0,0,0,1.4724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7572-10295,partial,https://lpl.qq.com/es/stats.shtml?bmid=7572,LDL,2021,Spring,1,2021-05-11 11:06:43,3,11.06,6,Red,top,xiaolaohu,FunPlus Phoenix Blaze,Gnar,Thresh,Zoe,Orianna,Galio,Rakan,1467,1,5,0,9,17,4,,,0,0,,0,,,0.6953,0.8589,,,,,,,,,,,,,,,,,,,,,,,,,,13744,562.1268,0.254448,404.4581,,10,0.4090,3,0.1227,5,,,11379,8111,331.7382,0.253234,,,235,211,24,5,5,9.6115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7572-10295,partial,https://lpl.qq.com/es/stats.shtml?bmid=7572,LDL,2021,Spring,1,2021-05-11 11:06:43,3,11.06,7,Red,jng,Youxin,FunPlus Phoenix Blaze,Hecarim,Thresh,Zoe,Orianna,Galio,Rakan,1467,1,0,3,11,17,4,,,0,0,,0,,,0.6953,0.8589,,,,,,,,,,,,,,,,,,,,,,,,,,6880,281.3906,0.127372,1142.4131,,10,0.4090,3,0.1227,11,,,7815,4547,185.9714,0.141958,,,126,10,116,86,8,5.1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7572-10295,partial,https://lpl.qq.com/es/stats.shtml?bmid=7572,LDL,2021,Spring,1,2021-05-11 11:06:43,3,11.06,8,Red,mid,Care,FunPlus Phoenix Blaze,Syndra,Thresh,Zoe,Orianna,Galio,Rakan,1467,1,9,1,5,17,4,,,0,0,,1,,,0.6953,0.8589,,,,,,,,,,,,,,,,,,,,,,,,,,18471,755.4601,0.341961,343.1493,,11,0.4499,5,0.2045,3,,,12384,9116,372.8425,0.284612,,,215,203,12,12,0,8.7935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7572-10295,partial,https://lpl.qq.com/es/stats.shtml?bmid=7572,LDL,2021,Spring,1,2021-05-11 11:06:43,3,11.06,9,Red,bot,River,FunPlus Phoenix Blaze,Tristana,Thresh,Zoe,Orianna,Galio,Rakan,1467,1,3,0,8,17,4,,,0,0,,0,,,0.6953,0.8589,,,,,,,,,,,,,,,,,,,,,,,,,,10913,446.3395,0.202036,300.2863,,11,0.4499,8,0.3272,5,,,10260,6992,285.9714,0.218296,,,191,161,30,14,12,7.8119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7572-10295,partial,https://lpl.qq.com/es/stats.shtml?bmid=7572,LDL,2021,Spring,1,2021-05-11 11:06:43,3,11.06,10,Red,sup,Shenyi,FunPlus Phoenix Blaze,Alistar,Thresh,Zoe,Orianna,Galio,Rakan,1467,1,0,0,14,17,4,,,0,0,,0,,,0.6953,0.8589,,,,,,,,,,,,,,,,,,,,,,,,,,4007,163.8855,0.0741831,463.9264,,32,1.3088,8,0.3272,11,,,6532,3264,133.4969,0.1019,,,31,31,0,0,0,1.2679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
