gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
7424-10104,complete,https://lpl.qq.com/es/stats.shtml?bmid=7424,LDL,2021,Spring,0,2021-04-30 06:56:00,1,11.06,1,Blue,top,Decade,LNG Academy,Aatrox,Zoe,Tahm Kench,Olaf,Lee Sin,Sion,2314,1,5,2,9,23,11,1,0,0,0,0,0,0,0,0.5964,0.8816,,,,,,,,,,,,,,,,,,,,,,,,,,11916,308.9715,0.143857,812.7744,791.3310,20,0.5186,6,0.1556,8,36,0.9334,14917,9921,257.2429,0.198623,14350,,267,255,12,4,4,6.9231,3006,4589,73,3332,4433,76,-326,156,-3,0,0,0,1,0,1,4561,7067,112,5492,7549,127,-931,-482,-15,0,1,1,2,0,1
7424-10104,complete,https://lpl.qq.com/es/stats.shtml?bmid=7424,LDL,2021,Spring,0,2021-04-30 06:56:00,1,11.06,2,Blue,jng,pzx,LNG Academy,Nocturne,Zoe,Tahm Kench,Olaf,Lee Sin,Sion,2314,1,3,2,14,23,11,0,0,0,0,1,0,1,0,0.5964,0.8816,,,,,,,,,,,,,,,,,,,,,,,,,,17224,446.6033,0.207939,1124.5722,1277.7096,28,0.7260,10,0.2593,9,63,1.6335,14608,9612,249.2308,0.192436,13775,,255,32,223,140,28,6.6119,3417,3384,68,3339,4202,81,78,-818,-13,0,1,0,0,0,1,5481,5882,110,5005,6617,120,476,-735,-10,0,2,0,0,1,1
7424-10104,complete,https://lpl.qq.com/es/stats.shtml?bmid=7424,LDL,2021,Spring,0,2021-04-30 06:56:00,1,11.06,3,Blue,mid,Vergil,LNG Academy,Galio,Zoe,Tahm Kench,Olaf,Lee Sin,Sion,2314,1,6,2,11,23,11,0,0,0,0,1,1,0,0,0.5964,0.8816,,,,,,,,,,,,,,,,,,,,,,,,,,21397,554.8055,0.258318,565.5661,858.0726,14,0.3630,5,0.1296,8,57,1.4780,15916,10920,283.1461,0.218623,16075,,310,293,17,15,0,8.0380,3759,5091,95,3386,5187,96,373,-96,-1,1,0,0,0,0,0,5929,8214,149,5270,7739,145,659,475,4,2,0,0,0,0,1
7424-10104,complete,https://lpl.qq.com/es/stats.shtml?bmid=7424,LDL,2021,Spring,0,2021-04-30 06:56:00,1,11.06,4,Blue,bot,LP,LNG Academy,Aphelios,Zoe,Tahm Kench,Olaf,Lee Sin,Sion,2314,1,6,4,9,23,11,1,0,0,0,0,0,0,0,0.5964,0.8816,,,,,,,,,,,,,,,,,,,,,,,,,,25692,666.1711,0.31017,495.6093,355.9551,14,0.3630,20,0.5186,7,58,1.5039,18882,13886,360.0519,0.278005,15975,,371,339,32,24,0,9.6197,3335,2895,84,3766,3345,81,-431,-450,3,0,0,1,1,1,0,6157,4632,141,5661,5267,135,496,-635,6,0,0,1,1,1,0
7424-10104,complete,https://lpl.qq.com/es/stats.shtml?bmid=7424,LDL,2021,Spring,0,2021-04-30 06:56:00,1,11.06,5,Blue,sup,Kedaya,LNG Academy,Thresh,Zoe,Tahm Kench,Olaf,Lee Sin,Sion,2314,1,3,1,17,23,11,1,0,0,0,0,0,0,0,0.5964,0.8816,,,,,,,,,,,,,,,,,,,,,,,,,,6603,171.2100,0.0797156,297.6404,342.7571,65,1.6854,10,0.2593,19,101,2.6188,10606,5610,145.4624,0.112313,10675,,33,33,0,0,0,0.8557,2496,2906,15,2441,2499,17,55,407,-2,1,0,1,0,2,0,3980,4586,25,3629,4228,27,351,358,-2,1,0,1,0,2,0
7424-10104,complete,https://lpl.qq.com/es/stats.shtml?bmid=7424,LDL,2021,Spring,0,2021-04-30 06:56:00,1,11.06,6,Red,top,Wayward,Top Esports Challenger,Camille,Hecarim,Renekton,Udyr,Irelia,Gnar,2314,0,4,6,1,11,23,0,0,0,0,0,0,0,0,0.2852,0.8816,,,,,,,,,,,,,,,,,,,,,,,,,,14715,381.5471,0.188354,780.8038,1054.8747,12,0.3111,9,0.2334,8,38,0.9853,14695,9699,251.4866,0.225837,15010,,310,284,26,19,4,8.0380,3332,4433,76,3006,4589,73,326,-156,3,1,0,1,0,0,0,5492,7549,127,4561,7067,112,931,482,15,2,0,1,0,1,1
7424-10104,complete,https://lpl.qq.com/es/stats.shtml?bmid=7424,LDL,2021,Spring,0,2021-04-30 06:56:00,1,11.06,7,Red,jng,naiyou,Top Esports Challenger,Nidalee,Hecarim,Renekton,Udyr,Irelia,Gnar,2314,0,4,4,2,11,23,0,0,0,0,0,0,0,1,0.2852,0.8816,,,,,,,,,,,,,,,,,,,,,,,,,,19545,506.7848,0.250179,859.4468,555.4019,5,0.1296,13,0.3371,4,53,1.3742,13828,8832,229.0061,0.205649,13250,,238,48,190,130,9,6.1711,3339,4202,81,3417,3384,68,-78,818,13,0,0,1,0,1,0,5005,6617,120,5481,5882,110,-476,735,10,0,1,1,0,2,0
7424-10104,complete,https://lpl.qq.com/es/stats.shtml?bmid=7424,LDL,2021,Spring,0,2021-04-30 06:56:00,1,11.06,8,Red,mid,Qing,Top Esports Challenger,Ryze,Hecarim,Renekton,Udyr,Irelia,Gnar,2314,0,2,4,5,11,23,0,0,0,0,0,0,0,0,0.2852,0.8816,,,,,,,,,,,,,,,,,,,,,,,,,,21352,553.6387,0.273309,497.1132,291.7286,20,0.5186,10,0.2593,10,48,1.2446,15906,10910,282.8868,0.254035,15650,,363,331,32,29,0,9.4123,3386,5187,96,3759,5091,95,-373,96,1,0,0,0,1,0,0,5270,7739,145,5929,8214,149,-659,-475,-4,0,0,1,2,0,0
7424-10104,complete,https://lpl.qq.com/es/stats.shtml?bmid=7424,LDL,2021,Spring,0,2021-04-30 06:56:00,1,11.06,9,Red,bot,JiaQi,Top Esports Challenger,Jinx,Hecarim,Renekton,Udyr,Irelia,Gnar,2314,0,1,6,6,11,23,0,0,0,0,0,0,0,0,0.2852,0.8816,,,,,,,,,,,,,,,,,,,,,,,,,,19975,517.9343,0.255683,638.0380,394.5117,12,0.3111,7,0.1815,7,23,0.5964,14690,9694,251.3570,0.225721,14475,,355,321,34,26,0,9.2048,3766,3345,81,3335,2895,84,431,450,-3,1,1,0,0,0,1,5661,5267,135,6157,4632,141,-496,635,-6,1,1,0,0,0,1
7424-10104,complete,https://lpl.qq.com/es/stats.shtml?bmid=7424,LDL,2021,Spring,0,2021-04-30 06:56:00,1,11.06,10,Red,sup,Niket,Top Esports Challenger,Lulu,Hecarim,Renekton,Udyr,Irelia,Gnar,2314,0,0,3,10,11,23,0,0,0,0,0,0,0,0,0.2852,0.8816,,,,,,,,,,,,,,,,,,,,,,,,,,2537,65.7822,0.032474,341.3310,240.9853,60,1.5557,19,0.4927,14,113,2.9300,8808,3812,98.8418,0.0887585,8600,,50,46,4,0,0,1.2965,2441,2499,17,2496,2906,15,-55,-407,2,0,2,0,1,0,1,3629,4228,27,3980,4586,25,-351,-358,2,0,2,0,1,0,1
