bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
Mordekaiser,Graves,Zoe,Miss Fortune,Galio,Ornn,Kindred,Orianna,Ezreal,Leona,0
Gragas,Graves,Rumble,Kai'Sa,Alistar,Ornn,Olaf,Syndra,Miss Fortune,Galio,1
Gragas,Graves,Zoe,Yasuo,Alistar,Rumble,Nidalee,Yone,Miss Fortune,Galio,1
Karma,Pantheon,Syndra,Samira,Leona,Aatrox,Nidalee,Viktor,Kai'Sa,Galio,1
Jax,Hecarim,Orianna,Samira,Alistar,Camille,Lillia,Viktor,Kai'Sa,Maokai,1
Camille,Kindred,Twisted Fate,Jhin,Galio,Gragas,Olaf,Orianna,Miss Fortune,Leona,1
Volibear,Hecarim,Orianna,Samira,Maokai,Renekton,Taliyah,Galio,Kai'Sa,Alistar,1
Kennen,Graves,Zoe,Miss Fortune,Thresh,Aatrox,Pantheon,Orianna,Jhin,Maokai,1
Kennen,Graves,Akali,Kai'Sa,Alistar,Sylas,Kindred,Lulu,Jhin,Shen,0
Ornn,Kindred,Fizz,Jhin,Galio,Gragas,Graves,Syndra,Kai'Sa,Nautilus,1
Ornn,Olaf,Rumble,Samira,Braum,Fiora,Lillia,Ryze,Kai'Sa,Maokai,1
Aatrox,Karthus,Lucian,Kai'Sa,Pantheon,Ornn,Hecarim,Viktor,Samira,Maokai,0
Gragas,Graves,LeBlanc,Kai'Sa,Leona,Renekton,Nidalee,Twisted Fate,Lucian,Alistar,1
Ornn,Lillia,Pantheon,Lucian,Maokai,Gragas,Hecarim,Viktor,Kai'Sa,Alistar,0
Gragas,Graves,Anivia,Miss Fortune,Sett,Aatrox,Nidalee,Viktor,Kai'Sa,Galio,1
Gangplank,Graves,Karma,Kai'Sa,Leona,Lulu,Kindred,Twisted Fate,Aphelios,Braum,0
Aatrox,Olaf,Orianna,Vayne,Leona,Wukong,Hecarim,Ryze,Kai'Sa,Alistar,0
Aatrox,Lillia,Viktor,Kai'Sa,Maokai,Ornn,Graves,Orianna,Aphelios,Leona,1
Akali,Graves,Anivia,Miss Fortune,Maokai,Sion,Kindred,Ekko,Jhin,Galio,0
Aatrox,Kha'Zix,Viktor,Jhin,Pantheon,Irelia,Graves,Lissandra,Kai'Sa,Alistar,0
Ornn,Graves,Orianna,Kai'Sa,Leona,Gragas,Lillia,Lucian,Miss Fortune,Galio,1
Aatrox,Olaf,Orianna,Jhin,Leona,Darius,Graves,Syndra,Kai'Sa,Morgana,1
Kayle,Olaf,Orianna,Jhin,Pantheon,Sion,Kha'Zix,Seraphine,Miss Fortune,Maokai,0
Ornn,Graves,Anivia,Lucian,Lulu,Renekton,Nidalee,Xerath,Kai'Sa,Braum,1
Jax,Graves,Galio,Kai'Sa,Rakan,Ornn,Kindred,Seraphine,Aphelios,Braum,0
Ornn,Graves,Malphite,Senna,Braum,Lucian,Lillia,Sylas,Jhin,Gragas,1
Vladimir,Graves,Yone,Miss Fortune,Shen,Camille,Nidalee,Twisted Fate,Samira,Braum,0
Yone,Lee Sin,Zoe,Draven,Zilean,Renekton,Lillia,Irelia,Jhin,Gragas,0
Wukong,Hecarim,Akali,Miss Fortune,Galio,Yone,Lee Sin,Twisted Fate,Kai'Sa,Lulu,0
Renekton,Sejuani,Syndra,Samira,Alistar,Volibear,Pantheon,Zoe,Kai'Sa,Maokai,0
Gragas,Graves,Syndra,Aphelios,Thresh,Irelia,Olaf,Orianna,Kai'Sa,Sett,1
