bluetop,bluetopgp,bluetopwr,bluetopkda,bluejungle,bluejunglegp,bluejunglewr,bluejunglekda,bluemid,bluemidgp,bluemidwr,bluemidkda,blueadc,blueadcgp,blueadcwr,blueadckda,bluesupport,bluesupportgp,bluesupportwr,bluesupportkda,redtop,redtopgp,redtopwr,redtopkda,redjungle,redjunglegp,redjunglewr,redjunglekda,redmid,redmidgp,redmidwr,redmidkda,redadc,redadcgp,redadcwr,redadckda,redsupport,redsupportgp,redsupportwr,redsupportkda,result
Mordekaiser,1,100%,10.0,Graves,11,91%,4.5,Zoe,11,82%,15.9,Miss Fortune,3,100%,8.8,Galio,6,67%,4.5,Ornn,4,50%,3.0,Kindred,4,50%,1.5,Orianna,10,30%,2.7,Ezreal,6,50%,3.7,Leona,6,33%,1.5,0
Gragas,12,33%,2.6,Graves,13,54%,4.6,Rumble,1,0%,1.0,Kai'Sa,13,23%,3.1,Alistar,18,33%,2.9,Ornn,5,100%,7.0,Olaf,4,50%,4.6,Syndra,13,77%,5.2,Miss Fortune,3,100%,8.8,Galio,6,67%,4.5,1
Gragas,12,33%,2.6,Graves,13,54%,4.6,Zoe,4,25%,2.3,Yasuo,1,0%,1.2,Alistar,18,33%,2.9,Rumble,3,100%,3.4,Nidalee,12,75%,4.7,Yone,2,50%,3.8,Miss Fortune,3,100%,8.8,Galio,6,67%,4.5,1
Karma,1,0%,2.0,Pantheon,2,0%,1.8,Syndra,7,57%,4.5,Samira,5,60%,7.3,Leona,7,43%,2.4,Aatrox,7,29%,3.6,Nidalee,2,50%,2.0,Viktor,6,67%,5.2,Kai'Sa,15,87%,11.6,Galio,4,75%,4.5,1
Jax,2,50%,1.4,Hecarim,9,56%,3.9,Orianna,15,47%,4.5,Samira,5,60%,7.3,Alistar,12,67%,4.7,Camille,5,40%,3.1,Lillia,1,100%,2.0,Viktor,6,67%,5.2,Kai'Sa,15,87%,11.6,Maokai,2,50%,1.4,1
Camille,1,0%,0.3,Kindred,2,0%,1.2,Twisted Fate,2,0%,0.7,Jhin,3,0%,2.8,Galio,2,0%,1.5,Gragas,8,75%,4.7,Olaf,7,71%,11.2,Orianna,15,80%,8.2,Miss Fortune,1,100%,12.0,Leona,6,100%,9.4,1
Volibear,1,0%,2.3,Hecarim,9,44%,4.3,Orianna,15,80%,8.2,Samira,5,60%,6.8,Maokai,3,67%,3.2,Renekton,4,50%,3.0,Taliyah,4,25%,2.5,Galio,9,44%,4.0,Kai'Sa,15,40%,2.7,Alistar,14,43%,2.9,1
Kennen,1,0%,1.0,Graves,4,0%,2.3,Zoe,5,20%,3.3,Miss Fortune,1,0%,1.5,Thresh,5,40%,2.0,Aatrox,3,100%,8.0,Pantheon,1,100%,3.3,Orianna,15,80%,8.2,Jhin,1,100%,10.0,Maokai,3,67%,3.2,1
Kennen,1,100%,3.3,Graves,10,70%,4.1,Akali,2,100%,5.7,Kai'Sa,11,64%,7.4,Alistar,7,71%,5.0,Sylas,1,0%,1.2,Kindred,4,25%,2.7,Lulu,1,0%,3.5,Jhin,7,29%,2.8,Shen,1,0%,10.0,0
Ornn,1,0%,1.0,Kindred,2,50%,3.0,Fizz,1,0%,0.8,Jhin,9,44%,3.1,Galio,5,40%,1.4,Gragas,3,33%,3.0,Graves,5,60%,9.7,Syndra,18,50%,2.5,Kai'Sa,17,76%,6.8,Nautilus,1,100%,7.7,1
