game,bluetop,bluetopgp,bluetopwr,bluetopkda,bluejungle,bluejunglegp,bluejunglewr,bluejunglekda,bluemid,bluemidgp,bluemidwr,bluemidkda,blueadc,blueadcgp,blueadcwr,blueadckda,bluesupport,bluesupportgp,bluesupportwr,bluesupportkda,redtop,redtopgp,redtopwr,redtopkda,redjungle,redjunglegp,redjunglewr,redjunglekda,redmid,redmidgp,redmidwr,redmidkda,redadc,redadcgp,redadcwr,redadckda,redsupport,redsupportgp,redsupportwr,redsupportkda,result
ESPORTSTMNT03/1632489,Mordekaiser,8,50%,2.9,Graves,27,85%,5.9,Zoe,54,74%,10.2,Miss Fortune,10,70%,5.3,Galio,11,55%,2.8,Ornn,11,55%,2.5,Kindred,41,68%,4.3,Orianna,13,46%,3.6,Ezreal,21,57%,4.3,Leona,10,60%,2.5,0
ESPORTSTMNT03/1632500,Gragas,14,36%,2.6,Graves,63,63%,5.1,Rumble,1,0%,1.0,Kai'Sa,20,30%,3.4,Alistar,25,28%,2.5,Ornn,20,65%,5.4,Olaf,4,50%,4.6,Syndra,54,70%,5.0,Miss Fortune,10,70%,5.3,Galio,11,55%,2.8,1
ESPORTSTMNT03/1632502,Gragas,14,36%,2.6,Graves,63,63%,5.1,Zoe,4,25%,2.3,Yasuo,2,50%,2.4,Alistar,25,28%,2.5,Rumble,7,71%,3.8,Nidalee,23,83%,6.1,Yone,2,50%,3.8,Miss Fortune,10,70%,5.3,Galio,11,55%,2.8,1
6909-9183,Karma,2,0%,0.9,Pantheon,5,60%,3.9,Syndra,36,75%,6.2,Samira,5,60%,7.3,Leona,22,64%,3.1,Aatrox,33,45%,2.7,Nidalee,11,55%,3.0,Viktor,6,67%,5.2,Kai'Sa,43,60%,6.3,Galio,4,75%,4.5,1
6909-9184,Jax,16,56%,2.8,Hecarim,11,55%,3.6,Orianna,50,64%,6.1,Samira,5,60%,7.3,Alistar,25,68%,4.5,Camille,20,45%,3.3,Lillia,2,100%,2.9,Viktor,6,67%,5.2,Kai'Sa,43,60%,6.3,Maokai,2,50%,1.4,1
6910-9189,Camille,17,41%,2.0,Kindred,20,40%,3.3,Twisted Fate,4,25%,1.5,Jhin,5,0%,2.0,Galio,10,20%,2.0,Gragas,22,64%,3.4,Olaf,11,82%,10.1,Orianna,31,61%,6.0,Miss Fortune,19,42%,6.4,Leona,37,62%,3.5,1
6910-9190,Volibear,3,33%,3.9,Hecarim,9,44%,4.3,Orianna,31,61%,6.0,Samira,5,60%,6.8,Maokai,4,75%,3.2,Renekton,22,45%,2.4,Taliyah,11,55%,3.1,Galio,19,47%,4.0,Kai'Sa,33,36%,2.5,Alistar,56,43%,3.2,1
6910-9191,Kennen,9,33%,1.1,Graves,19,42%,4.4,Zoe,44,52%,5.3,Miss Fortune,4,25%,3.1,Thresh,50,52%,3.5,Aatrox,24,63%,3.1,Pantheon,1,100%,3.3,Orianna,15,80%,8.2,Jhin,7,57%,11.3,Maokai,4,75%,3.2,1
NA1/3735059392,Kennen,2,100%,2.8,Graves,16,69%,4.1,Akali,6,33%,3.8,Kai'Sa,15,53%,6.9,Alistar,36,67%,4.0,Sylas,1,0%,1.2,Kindred,8,25%,2.2,Lulu,4,50%,5.3,Jhin,15,47%,4.1,Shen,1,0%,10.0,0
NA1/3735089393,Ornn,2,50%,2.5,Kindred,2,50%,3.0,Fizz,1,0%,0.8,Jhin,9,44%,3.1,Galio,9,44%,1.7,Gragas,3,33%,3.0,Graves,5,60%,9.7,Syndra,18,50%,2.5,Kai'Sa,21,67%,5.5,Nautilus,8,50%,1.8,1
NA1/3734939626,Ornn,12,25%,1.9,Olaf,9,33%,2.3,Rumble,28,57%,4.6,Samira,6,33%,2.3,Braum,7,57%,3.0,Fiora,1,100%,20.0,Lillia,15,53%,4.2,Ryze,27,44%,3.5,Kai'Sa,17,53%,6.7,Maokai,11,64%,3.6,1
NA1/3737099763,Aatrox,21,48%,2.3,Karthus,9,67%,3.1,Lucian,3,33%,1.3,Kai'Sa,20,60%,3.6,Pantheon,3,67%,4.0,Ornn,2,50%,11.0,Hecarim,5,40%,4.4,Viktor,2,0%,2.5,Samira,2,0%,1.0,Maokai,2,50%,1.5,0
NA1/3737119854,Gragas,8,38%,1.6,Graves,17,41%,3.2,LeBlanc,9,22%,2.5,Kai'Sa,17,53%,6.7,Leona,5,60%,4.6,Renekton,14,57%,2.3,Nidalee,14,57%,3.1,Twisted Fate,13,38%,3.6,Lucian,3,100%,18.5,Alistar,4,50%,1.9,1
NA1/3735059696,Ornn,10,80%,6.6,Lillia,14,57%,2.8,Pantheon,3,100%,7.1,Lucian,3,67%,4.1,Maokai,8,50%,3.2,Gragas,20,70%,3.1,Hecarim,11,64%,3.7,Viktor,15,47%,4.0,Kai'Sa,15,53%,6.9,Alistar,36,67%,4.0,0
