game,blueTop,blueTopGP,blueTopWR,blueTopKDA,blueJungle,blueJungleGP,blueJungleWR,blueJungleKDA,blueMid,blueMidGP,blueMidWR,blueMidKDA,blueADC,blueADCGP,blueADCWR,blueADCKDA,blueSupport,blueSupportGP,blueSupportWR,blueSupportKDA,redTop,redTopGP,redTopWR,redTopKDA,redJungle,redJungleGP,redJungleWR,redJungleKDA,redMid,redMidGP,redMidWR,redMidKDA,redAdc,redAdcGP,redAdcWR,redAdcKDA,redSupport,redSupportGP,redSupportWR,redSupportKDA,result
ESPORTSTMNT03/1632489,82,8,0.5,2.9,104,27,0.85,5.9,142,59,0.76,10.7,21,10,0.7,5.3,3,11,0.55,2.8,516,11,0.55,2.5,203,41,0.68,4.3,61,13,0.46,3.6,81,21,0.57,4.3,89,10,0.6,2.5,0
ESPORTSTMNT03/1632500,79,14,0.36,2.6,104,63,0.63,5.1,68,1,0.0,1.0,145,20,0.3,3.4,12,25,0.28,2.5,516,21,0.67,5.4,2,15,0.6,4.1,134,55,0.69,4.9,21,10,0.7,5.3,3,11,0.55,2.8,1
ESPORTSTMNT03/1632502,79,14,0.36,2.6,104,63,0.63,5.1,142,5,0.4,2.9,157,2,0.5,2.4,12,25,0.28,2.5,68,7,0.71,3.8,76,24,0.83,6.4,777,3,0.67,4.4,21,10,0.7,5.3,3,11,0.55,2.8,1
6909-9183,43,2,0.0,0.9,80,5,0.6,3.9,134,36,0.75,6.2,135,5,0.6,7.3,89,22,0.64,3.1,266,33,0.45,2.7,76,11,0.55,3.0,112,6,0.67,5.2,145,43,0.6,6.3,3,4,0.75,4.5,1
6909-9184,24,16,0.56,2.8,120,11,0.55,3.6,61,50,0.64,6.1,135,5,0.6,7.3,12,25,0.68,4.5,164,20,0.45,3.3,876,2,1.0,2.9,112,6,0.67,5.2,145,43,0.6,6.3,57,2,0.5,1.4,1
6910-9189,164,17,0.41,2.0,203,20,0.4,3.3,4,4,0.25,1.5,202,5,0.0,2.0,3,10,0.2,2.0,79,22,0.64,3.4,2,11,0.82,10.1,61,31,0.61,6.0,21,19,0.42,6.4,89,37,0.62,3.5,1
6910-9190,106,3,0.33,3.9,120,9,0.44,4.3,61,31,0.61,6.0,135,5,0.6,6.8,57,4,0.75,3.2,58,22,0.45,2.4,163,11,0.55,3.1,3,19,0.47,4.0,145,33,0.36,2.5,12,56,0.43,3.2,1
6910-9191,85,9,0.33,1.1,104,19,0.42,4.4,142,44,0.52,5.3,21,4,0.25,3.1,412,50,0.52,3.5,266,24,0.63,3.1,80,1,1.0,3.3,61,31,0.61,6.0,202,7,0.57,11.3,57,4,0.75,3.2,1
NA1/3735059392,85,2,1.0,2.8,104,16,0.69,4.1,84,6,0.33,3.8,145,15,0.53,6.9,12,36,0.67,4.0,517,2,0.5,4.1,203,8,0.25,2.2,117,4,0.5,5.3,202,7,0.29,2.8,98,1,0.0,10.0,0
NA1/3735089393,516,2,0.5,2.5,203,2,0.5,3.0,105,1,0.0,0.8,202,9,0.44,3.1,3,0,0,0,79,3,0.33,3.0,104,5,0.6,9.7,134,18,0.5,2.5,145,21,0.67,5.5,111,8,0.5,1.8,1
