game,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
ESPORTSTMNT03/1632489,8,0.5,2.9,27,0.85,5.9,59,0.76,10.7,10,0.7,5.3,12,0.58,3.1,11,0.55,2.5,41,0.68,4.3,14,0.5,3.8,30,0.57,4.4,16,0.56,2.2,0
ESPORTSTMNT03/1632500,14,0.36,2.6,36,0.67,6.0,2,0.5,4.0,22,0.32,3.4,21,0.33,2.6,19,0.74,5.5,15,0.6,4.1,38,0.79,5.7,10,0.7,5.3,9,0.67,4.0,1
ESPORTSTMNT03/1632502,14,0.36,2.6,63,0.63,5.1,5,0.4,2.9,2,0.5,2.4,21,0.33,2.6,8,0.63,3.7,25,0.8,5.9,3,0.67,4.4,10,0.7,5.3,9,0.67,4.0,1
6909-9183,2,0.0,0.9,5,0.6,3.9,12,0.75,6.2,5,0.6,7.3,23,0.61,3.0,7,0.29,3.6,11,0.55,3.0,6,0.67,5.2,47,0.72,6.5,4,0.75,4.5,1
6909-9184,4,0.75,3.1,11,0.55,3.6,50,0.64,6.1,5,0.6,7.3,25,0.68,4.5,22,0.5,3.6,2,1.0,2.9,6,0.67,5.2,47,0.72,6.5,2,0.5,1.4,1
6910-9189,17,0.41,2.0,20,0.45,3.3,2,0.0,0.7,5,0.0,2.0,10,0.2,2.0,22,0.64,3.4,11,0.82,10.1,32,0.63,6.2,19,0.42,6.4,42,0.67,3.8,1
6910-9190,3,0.33,3.9,10,0.5,4.8,16,0.81,8.7,5,0.6,6.8,4,0.75,3.2,24,0.42,2.3,4,0.25,2.5,10,0.5,4.5,19,0.47,3.2,58,0.41,3.1,1
6910-9191,9,0.33,1.1,19,0.42,4.4,45,0.58,5.4,2,0.0,1.8,52,0.5,3.3,3,1.0,8.0,1,1.0,3.3,16,0.81,8.7,2,0.5,6.5,4,0.75,3.2,1
NA1/3735059392,2,1.0,2.8,10,0.7,4.1,3,1.0,5.3,15,0.53,6.9,36,0.67,4.0,5,0.4,4.1,8,0.25,2.2,5,0.4,4.3,16,0.44,4.4,1,0.0,10.0,0
NA1/3735089393,2,0.5,2.5,2,0.5,3.0,1,0.0,0.8,9,0.44,3.1,0,0,0,3,0.33,3.0,0,0,0,19,0.47,2.6,21,0.67,5.5,8,0.5,1.8,1
NA1/3734939626,14,0.29,2.1,9,0.33,2.3,31,0.61,5.0,6,0.33,2.3,7,0.57,3.0,1,1.0,20.0,17,0.53,4.3,34,0.47,3.3,0,0,0,11,0.64,3.6,1
NA1/3737099763,22,0.45,2.3,9,0.67,3.1,4,0.25,2.6,29,0.72,4.1,3,0.67,4.0,3,0.33,7.0,5,0.4,4.4,3,0.0,1.3,2,0.0,1.0,2,0.5,1.5,0
NA1/3737119854,8,0.38,1.6,17,0.41,3.2,9,0.22,2.5,0,0,0,5,0.6,4.6,14,0.57,2.3,16,0.63,3.7,18,0.56,4.7,3,1.0,18.5,4,0.5,1.9,1
NA1/3735059696,11,0.82,6.4,14,0.57,2.8,3,1.0,7.1,3,0.67,4.1,8,0.5,3.2,15,0.73,3.2,11,0.64,3.7,16,0.44,3.5,11,0.64,7.4,36,0.67,4.0,0
NA1/3735089630,3,0.33,3.0,0,0,0,5,0.4,2.9,5,0.6,4.3,3,0.33,1.9,10,0.6,2.0,7,0.71,4.3,8,0.38,2.1,5,0.8,3.3,0,0,0,1
NA1/3737099991,6,0.83,6.3,11,0.64,3.4,3,0.33,4.7,21,0.38,2.9,14,0.43,3.4,2,0.0,0.7,12,0.67,3.6,1,0.0,1.0,7,0.43,2.4,14,0.64,3.4,0
NA1/3737120121,14,0.43,1.5,9,0.33,2.3,9,0.22,2.5,6,0.5,4.4,5,0.2,1.1,4,0.5,2.3,19,0.47,3.0,34,0.47,3.3,0,0,0,8,0.5,3.4,0
NA1/3737140122,10,0.6,2.0,2,0.0,1.8,8,0.38,2.1,5,0.8,3.3,0,0,0,25,0.52,3.0,0,0,0,12,0.58,3.3,26,0.62,3.8,14,0.5,2.9,1
NA1/3737169983,4,0.5,2.2,10,0.7,4.1,3,1.0,5.8,17,0.47,3.4,2,0.5,2.5,6,0.5,2.2,8,0.25,2.2,12,0.58,3.0,16,0.44,4.4,11,0.55,3.4,0
NA1/3737100387,22,0.45,2.3,6,0.67,3.5,19,0.68,4.3,11,0.73,4.8,3,0.67,4.0,1,0.0,0.5,11,0.64,3.4,1,0.0,1.0,21,0.38,2.9,6,0.5,2.4,0
NA1/3737170412,18,0.44,3.7,11,0.36,2.9,24,0.63,4.5,29,0.72,4.1,15,0.47,2.4,20,0.7,3.1,14,0.86,3.9,9,0.56,2.6,17,0.47,3.4,29,0.69,5.2,1
NA1/3737120636,14,0.43,1.5,9,0.33,2.3,9,0.22,2.5,6,0.67,6.2,5,0.2,1.1,17,0.71,4.0,0,0,0,19,0.47,2.6,21,0.67,5.5,25,0.84,3.7,1
NA1/3737170792,2,0.5,2.2,18,0.78,5.2,54,0.65,5.0,34,0.38,5.2,3,0.67,2.8,11,0.45,4.0,6,0.67,3.5,4,0.25,3.1,7,0.29,2.7,4,0.25,1.6,0
NA1/3737121035,12,0.67,3.4,0,0,0,5,0.4,2.9,4,0.75,7.3,7,0.43,3.8,14,0.57,2.3,16,0.63,3.7,8,0.63,6.2,26,0.42,3.4,7,0.57,3.0,1
NA1/3737121483,6,0.17,1.2,19,0.53,2.9,15,0.47,3.3,26,0.42,3.4,15,0.53,5.2,25,0.52,3.0,0,0,0,8,0.38,4.9,26,0.62,3.8,8,0.5,2.9,0
NA1/3737122018,14,0.29,2.1,16,0.56,3.0,1,0.0,4.0,4,0.75,8.7,7,0.57,3.0,3,1.0,4.7,14,0.86,3.9,19,0.58,3.6,11,0.73,9.2,7,0.71,3.8,1
NA1/3737122543,2,1.0,6.0,10,0.7,4.1,5,0.6,4.2,8,0.63,4.1,3,0.67,4.1,14,0.64,2.8,16,0.63,3.7,18,0.56,4.7,6,0.33,2.3,7,0.57,3.0,0
NA1/3737122937,5,0.6,1.7,5,0.6,4.0,17,0.59,5.4,7,0.86,8.5,1,1.0,3.0,29,0.72,2.9,14,0.86,3.9,8,0.5,2.3,34,0.38,5.2,7,0.71,3.8,0
NA1/3737123325,3,0.67,2.3,11,0.64,3.7,7,0.43,3.9,8,0.63,4.1,16,0.69,7.0,5,0.6,1.7,5,0.6,4.0,18,0.56,4.7,26,0.42,3.4,5,0.2,2.9,0
6911-9185,31,0.32,2.4,17,0.47,4.3,4,0.75,4.0,7,0.57,3.5,42,0.64,3.7,2,0.5,2.8,1,0.0,1.5,6,0.17,3.5,14,0.43,3.4,1,0.0,7.0,0
6911-9186,3,0.0,1.3,21,0.33,3.6,4,0.0,1.2,10,0.5,3.8,4,0.25,1.8,19,0.53,3.0,43,0.58,4.6,20,0.55,4.0,36,0.64,4.6,7,0.43,2.2,1
6912-9187,35,0.77,2.8,12,0.75,7.3,84,0.64,5.3,3,0.67,12.0,18,0.56,2.7,49,0.51,2.9,13,0.46,3.0,10,0.3,2.5,40,0.55,7.9,54,0.54,2.6,0
