game,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
ESPORTSTMNT03/1632489,0,0,0,14,0.57,7.45,0,0,0,2,0.5,21.0,1,0.0,4.67,1,1.0,3.33,3,1.0,3.11,3,0.33,10.67,1,0.0,13.0,4,0.25,4.45,0
ESPORTSTMNT03/1632500,2,0.5,2.5,4,0.75,6.4,0,0,0,4,0.5,5.38,1,0.0,3.33,2,0.5,9.5,3,0.67,3.43,12,0.75,5.21,3,0.67,11.67,2,0.5,9.67,1
ESPORTSTMNT03/1632502,3,0.33,2.33,5,0.6,4.5,1,0.0,8.0,0,0,0,2,0.0,1.78,0,0,0,1,1.0,6.67,0,0,0,4,0.5,9.8,3,0.33,8.4,1
6909-9183,0,0,0,3,0.33,5.0,4,0.5,12.25,0,0,0,6,0.33,3.46,0,0,0,1,0.0,1.5,0,0,0,0,0,0,0,0,0,1
6909-9184,0,0,0,2,0.5,3.0,6,0.33,4.17,1,0.0,1.0,3,0.67,3.36,0,0,0,0,0,0,1,0.0,7.0,1,0.0,8.0,0,0,0,1
6910-9189,3,1.0,3.14,1,1.0,3.67,0,0,0,2,0.5,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6910-9190,0,0,0,0,0,0,1,0.0,10.0,0,0,0,0,0,0,2,0.5,0.73,0,0,0,1,0.0,9.5,4,0.25,5.0,1,0.0,8.67,1
6910-9191,0,0,0,2,0.5,20.5,4,0.5,7.57,1,0.0,2.0,0,0,0,0,0,0,0,0,0,2,0.0,3.4,0,0,0,1,0.0,1.0,1
NA1/3735059392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2.4,0,0,0,6,0.33,6.0,0,0,0,0
NA1/3735089393,1,1.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA1/3734939626,0,0,0,0,0,0,6,0.5,7.42,3,1.0,3.55,1,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA1/3737099763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1/3737119854,0,0,0,0,0,0,0,0,0,1,0.0,9.0,0,0,0,2,1.0,1.91,0,0,0,4,0.25,3.0,0,0,0,0,0,0,1
NA1/3735059696,2,0.5,4.75,3,0.67,4.5,0,0,0,0,0,0,2,0.5,0.4,0,0,0,0,0,0,0,0,0,1,1.0,8.0,1,1.0,2.67,0
NA1/3735089630,1,0.0,5.5,1,0.0,19.0,0,0,0,0,0,0,0,0,0,1,1.0,2.0,0,0,0,0,0,0,0,0,0,1,0.0,0.55,1
NA1/3737099991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.25,4.08,0
NA1/3737120121,0,0,0,1,0.0,0.83,0,0,0,0,0,0,2,0.0,3.0,0,0,0,0,0,0,1,0.0,9.5,2,0.0,10.67,0,0,0,0
NA1/3737140122,2,0.5,1.57,0,0,0,1,0.0,9.0,1,0.0,6.0,0,0,0,4,0.75,3.67,2,0.0,12.0,0,0,0,0,0,0,0,0,0,1
NA1/3737169983,0,0,0,1,1.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,2.33,1,1.0,1.4,7,0.43,6.09,1,1.0,2.0,0
NA1/3737100387,1,1.0,7.0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,1,1.0,8.0,0,0,0,1,1.0,11.0,0,0,0,0
NA1/3737170412,0,0,0,0,0,0,0,0,0,1,1.0,8.0,4,0.75,2.93,1,1.0,0.29,0,0,0,0,0,0,1,1.0,11.0,0,0,0,1
NA1/3737120636,1,1.0,4.5,2,0.5,2.33,1,1.0,14.0,0,0,0,3,0.33,3.4,0,0,0,3,0.0,10.33,1,0.0,7.0,1,0.0,7.67,0,0,0,1
NA1/3737170792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,13.0,0,0,0,0,0,0,0,0,0,0
NA1/3737121035,5,0.6,4.08,4,0.0,9.6,1,0.0,0.5,0,0,0,0,0,0,3,0.67,1.94,1,0.0,5.0,3,0.67,7.0,0,0,0,2,0.0,1.88,1
NA1/3737121483,2,1.0,1.62,0,0,0,0,0,0,1,0.0,6.5,6,0.67,8.18,6,0.5,3.33,0,0,0,0,0,0,1,0.0,20.0,0,0,0,0
NA1/3737122018,1,0.0,0.67,1,1.0,11.0,0,0,0,0,0,0,3,0.0,2.8,0,0,0,1,0.0,2.6,0,0,0,1,1.0,15.0,0,0,0,1
NA1/3737122543,0,0,0,2,1.0,4.25,0,0,0,2,0.5,6.25,0,0,0,2,1.0,12.5,2,0.0,4.67,5,0.2,3.0,4,0.75,2.73,4,0.0,2.55,0
NA1/3737122937,0,0,0,0,0,0,0,0,0,1,1.0,0.67,0,0,0,0,0,0,2,0.0,3.0,0,0,0,2,0.5,21.0,1,0.0,7.0,0
NA1/3737123325,0,0,0,1,1.0,0.6,1,1.0,2.33,3,0.67,9.0,1,0.0,5.33,1,1.0,11.0,1,1.0,20.0,6,0.33,2.68,2,0.5,6.25,1,0.0,0.75,0
6911-9185,2,0.5,2.0,1,0.0,2.0,0,0,0,3,0.67,3.0,8,0.38,2.92,0,0,0,0,0,0,1,0.0,21.0,0,0,0,0,0,0,0
6911-9186,0,0,0,1,1.0,21.0,0,0,0,0,0,0,0,0,0,1,0.0,12.0,3,0.0,5.44,8,0.38,4.38,6,0.0,5.07,4,0.75,1.89,1
6912-9187,0,0,0,0,0,0,0,0,0,1,1.0,1.5,0,0,0,3,0.33,1.82,3,0.33,4.12,0,0,0,5,0.4,8.0,3,0.0,1.42,0
6912-9188,1,1.0,6.0,1,1.0,11.0,0,0,0,0,0,0,2,1.0,1.46,0,0,0,4,0.5,3.09,1,1.0,1.0,1,1.0,1.25,0,0,0,0
6913-9192,5,0.6,3.22,4,0.25,2.27,4,0.75,2.08,1,1.0,9.0,1,0.0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6913-9193,0,0,0,5,0.4,3.09,5,0.8,2.71,2,1.0,8.0,2,0.5,6.75,0,0,0,1,1.0,0.5,0,0,0,0,0,0,0,0,0,1
6913-9194,1,0.0,2.0,1,1.0,11.0,6,0.67,2.47,0,0,0,0,0,0,1,0.0,3.67,0,0,0,1,1.0,2.0,1,0.0,8.0,1,0.0,13.0,1
6914-9195,0,0,0,0,0,0,2,0.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13.0,3,1.0,4.29,0,0,0,1
ESPORTSTMNT02/1650084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESPORTSTMNT02/1650105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,1
ESPORTSTMNT02/1650107,0,0,0,0,0,0,0,0,0,1,0.0,2.75,2,0.0,1.89,0,0,0,4,1.0,7.17,0,0,0,0,0,0,0,0,0,0
ESPORTSTMNT02/1650114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1/3739583938,3,0.67,6.2,4,0.75,4.15,1,1.0,12.0,1,1.0,12.0,0,0,0,0,0,0,0,0,0,1,1.0,1.8,0,0,0,0,0,0,0
NA1/3739154532,3,0.33,1.5,4,0.5,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1/3739424499,0,0,0,0,0,0,3,1.0,4.06,2,0.5,1.0,0,0,0,1,0.0,3.0,8,0.38,3.31,8,0.25,5.41,5,0.8,3.12,6,0.67,5.11,0
NA1/3739274584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1/3739474172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,10.5,1,1.0,5.0,1,1.0,8.0,0,0,0,0,0,0,1
NA1/3739454304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1/3739504187,0,0,0,0,0,0,2,0.5,3.6,0,0,0,0,0,0,0,0,0,1,0.0,2.0,0,0,0,0,0,0,0,0,0,0
NA1/3739274626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,6,0.67,8.6,1,0.0,16.0,0,0,0,1,0.0,15.0,1
NA1/3739414489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA1/3739085266,0,0,0,0,0,0,0,0,0,1,1.0,1.8,0,0,0,3,0.33,1.18,0,0,0,2,1.0,5.2,1,0.0,0.71,1,1.0,4.0,1
NA1/3739085268,2,0.5,1.0,3,1.0,4.83,0,0,0,3,0.67,6.5,2,0.5,7.25,0,0,0,6,0.5,5.11,0,0,0,0,0,0,0,0,0,0
NA1/3739125348,0,0,0,0,0,0,1,1.0,6.0,2,1.0,3.5,0,0,0,1,1.0,0.71,0,0,0,0,0,0,0,0,0,1,0.0,6.0,1
NA1/3739254924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1/3739294661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1/3739154751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15.0,2,0.0,12.67,1,0.0,6.0,1
NA1/3739274927,3,0.33,6.4,7,0.57,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1/3739394453,0,0,0,1,1.0,0.14,0,0,0,1,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0.0,9.0,0,0,0,1,0.0,3.0,1
NA1/3739394472,0,0,0,0,0,0,1,1.0,7.0,2,1.0,12.0,3,0.67,6.0,0,0,0,5,0.4,3.5,0,0,0,0,0,0,0,0,0,0
NA1/3739185150,0,0,0,0,0,0,0,0,0,1,0.0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1/3739464588,1,1.0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.6,4.33,2,1.0,3.8,0,0,0,0,0,0,0
NA1/3739125682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14.0,1,0.0,8.0,0,0,0,1,0.0,10.0,0,0,0,1
